dutch_word,english1,sentence1,english2,sentence2
"moed","courage","Hij had veel moed.","bravery","Ze toonden moed."
"moeder","mother","Mijn moeder kookt graag.","mom","Ze belde haar moeder."
"moeilijk","difficult","De som is moeilijk.","hard","Ze vond het moeilijk."
"moeilijkheid","difficulty","Ze hadden veel moeilijkheden.","problem","De moeilijkheid werd besproken."
"moeite","effort","Ze deden veel moeite.","trouble","De moeite was het waard."
"moeten","must","Ik moet dit doen.","to have to","Ze moeten naar school."
"mogelijk","possible","Het is mogelijk om te winnen.","potential","Een mogelijk probleem ontstond."
"mogelijkheid","possibility","Ze onderzochten alle mogelijkheden.","option","Er was een mogelijkheid tot overleg."
"mogen","may","Je mag hier parkeren.","to be allowed","Ze mogen binnenkomen."
"moment (het)","moment","Het moment was belangrijk.","instant","Een mooi moment samen."
"mond","mouth","Ze opende haar mond.","oral cavity","Zijn mond was droog."
"mooi","beautiful","Het uitzicht is mooi.","pretty","Ze droegen mooie kleren."
"moord","murder","Hij pleegde een moord.","homicide","De moord werd onderzocht."
"morgen (de)","morning","De morgen begon vroeg.","AM","De morgen was zonnig."
"morgen","tomorrow","We zien elkaar morgen.","next day","Morgen gaan we weg."
"muur","wall","Er hangt een schilderij aan de muur.","barrier","De muur is wit."
"muziek","music","Ze luisteren naar muziek.","melody","De muziek klonk zacht."
"na (vz)","after","Na het werk gingen ze eten.","following","Ze bleven na de film."
"na (bw)","afterwards","Na moest ze lachen.","later","Ze keek na wat er gebeurde."
"naam","name","Wat is je naam?","designation","Ze schreven hun naam op."
"naar (bn)","unpleasant","Wat een naar gevoel.","bad","Hij vond het naar nieuws."
"naar (vz)","to","Ze gingen naar het park.","towards","Ze wees naar de deur."
"naar (vw)","as","Naar men zegt, is dat waar.","according to","Naar hij beweert, is het goed."
"naast","next to","Hij zit naast mij.","beside","Het huis staat naast de winkel."
"nacht","night","Het was een donkere nacht.","nighttime","Ze liepen in de nacht."
"nadat","after","Nadat hij kwam, vertrokken we.","once","Nadat ze aten, gingen ze weg."
"nadeel (het)","disadvantage","Het nadeel van dit plan is groot.","drawback","Een nadeel is de prijs."
"nadenken","to think","Ze moesten goed nadenken.","to reflect","Hij dacht na over de vraag."
"nader","closer","Hij kwam nader bij.","further","Ze wilden het nader onderzoeken."
"naderen","to approach","De trein nadert het station.","to come near","Ze naderden het dorp."
"nadruk","emphasis","Ze legden nadruk op kwaliteit.","stress","De nadruk lag op snelheid."
"najaar (het)","autumn","Het najaar was nat.","fall season","Ze hielden van het najaar."
"name","name","In name van de wet.","title","Zijn name werd genoemd."
"namelijk","namely","Ze zijn ziek, namelijk Jan en Piet.","that is","Namelijk, het gaat om dit punt."
"nat","wet","Het gras is nat.","damp","Ze waren nat van de regen."
"nationaal","national","De nationale feestdag is morgen.","state","Het nationaal museum is bekend."
"nationaliteit","nationality","Wat is je nationaliteit?","citizenship","Ze vroegen naar nationaliteit."
"natuur","nature","Ze houden van de natuur.","environment","De natuur is mooi."
"natuurlijk","natural","Het is een natuurlijk proces.","of course","Natuurlijk kom ik."
"nauw","narrow","Het pad is nauw.","close","Ze waren nauw bevriend."
"nauwelijks","hardly","Er was nauwelijks eten.","barely","Ze konden nauwelijks lopen."
"nee","no","Nee, ik wil niet.","not at all","Nee, dat mag niet."
"neer","down","Hij keek neer.","below","Ze ging neer zitten."
"neerleggen","to lay down","Ze moest het boek neerleggen.","to resign","Hij legde zijn functie neer."
"neerzetten","to put down","Ze wilde de tas neerzetten.","to place","Hij zette de stoelen neer."
"negatief","negative","Dat is een negatief punt.","unfavorable","Ze waren negatief gestemd."
"nemen","to take","Ze willen de trein nemen.","to pick","Hij nam een appel."
"nergens","nowhere","Er was nergens een winkel.","not anywhere","Hij kon het nergens vinden."
"net","just","Hij kwam net binnen.","neat","Ze hield alles net."
"netjes","neat","Ze droegen nette kleding.","tidy","De kamer was netjes."
"neus","nose","Ze raakte haar neus aan.","snout","Zijn neus is groot."
"niemand","nobody","Er was niemand thuis.","no one","Niemand wist iets."
"niet","not","Ik wil niet gaan.","no","Ze zeiden niet veel."
"niets","nothing","Er gebeurde niets.","naught","Ze vonden niets."
"nietwaar","isn't it","Mooi weer, nietwaar?","right","Dat klopt, nietwaar?"
"nieuw","new","Ze kochten een nieuw huis.","fresh","Het was een nieuw idee."
"nieuws (het)","news","Ik las het nieuws.","current events","Het nieuws was goed."
"nieuwsgierig","curious","Het kind was nieuwsgierig.","inquiring","Ze keek nieuwsgierig rond."
"niks","nothing","Ze zei niks.","nothing at all","Er gebeurde niks."
"niveau (het)","level","Het niveau is hoog.","standard","Het niveau van de klas is goed."
"noch","nor","Zij noch ik kan komen.","neither","Noch hij, noch zij was aanwezig."
"nodig","necessary","Dat is niet nodig.","required","We hebben dit nodig."
"noemen","to name","Ze noemen hem Jan.","to call","Hoe noem je dit?"
"nog","still","Het is nog vroeg.","yet","Hij kwam nog later."
"nogal","rather","Het is nogal moeilijk.","quite","Ze praat nogal snel."
"nogmaals","again","Dank je nogmaals voor je hulp.","once more","Nogmaals vroeg hij om stilte."
"noodzakelijk","necessary","Het is noodzakelijk om te leren.","essential","De maatregelen zijn noodzakelijk."
"nooit","never","Hij is nooit in Parijs geweest.","not ever","Ik heb dat nooit gedaan."
"noorden (het)","north","Het noorden is koud.","northern region","Ze reizen naar het noorden."
"norm","standard","We hanteren een hoge norm.","rule","De norm is vastgesteld."
"normaal","normal","Dat is een normale reactie.","regular","Ze leefden een normaal leven."
"nota","note","Hij maakte een nota tijdens de vergadering.","bill","Ze betaalden de nota."
"nou","well","Nou, dat is vreemd.","so","Nou, ik weet het niet."
"november","November","Ze verhuizen in november.","Nov","November is een herfstmaand."
"ʻns","once","Kom ʻns hier kijken.","just","Zeg dat ʻns opnieuw."
"nu","now","Nu is het stil.","at present","Ze wonen nu hier."
"nu (vw)","now that","Nu je hier bent, kunnen we beginnen.","since","Nu hij klaar is, gaan we eten."
"nummer (het)","number","Het nummer staat op de lijst.","song","Ze luisterden naar een nieuw nummer."
"nuttig","useful","Dit boek is nuttig voor je studie.","helpful","De tips waren nuttig."
"O","O","De letter O komt na N.","oh","Hij oefent de O."
"ochtend","morning","De ochtend begon rustig.","forenoon","Elke ochtend drinkt hij koffie."
"oefenen","to practice","Ze moesten veel oefenen.","to train","Ze oefenden voor het concert."
"of","or","Wil je koffie of thee?","whether","Ze vroeg of hij mee wilde."
"officieel","official","Het besluit is officieel.","formally","Het werd officieel bekendgemaakt."
"officier","officer","De officier gaf bevelen.","military officer","Ze spraken met de officier."
"ofschoon","although","Ofschoon het regende, gingen we wandelen.","though","Ofschoon hij moe was, werkte hij door."
"ogenblik (het)","moment","Een ogenblik geduld, alstublieft.","instant","Op dat ogenblik begon het te regenen."
"oktober","October","Ze kwamen in oktober terug.","Oct","Oktober is een herfstmaand."
"om (vz)","around","Ze liepen om het huis.","about","Ze fietsten om de stad."
"om (bw)","at","We komen om acht uur.","for","Ze renden om hulp."
"oma","grandma","Ze bezocht haar oma.","granny","Oma kookt altijd lekker."
"omdat","because","Ze bleef thuis omdat ze ziek was.","since","Omdat hij wilde, gingen we mee."
"omdraaien","to turn around","Ze moest zich omdraaien.","to reverse","Hij draaide de auto om."
"omgaan","to deal with","Ze kunnen goed met stress omgaan.","to associate","Hij ging om met vrienden."
"omgeving","surroundings","De omgeving is prachtig.","area","Ze verkenden de omgeving."
"omhoog","up","Ze keken omhoog naar de vogels.","upward","Hij liep omhoog de trap op."
"omkeren","to turn back","Ze moesten omkeren.","to reverse","Hij keerde snel om."
"omlaag","down","Ze keken omlaag in het ravijn.","downward","Het ging omlaag met de prijzen."
"omstandigheid","circumstance","Onder deze omstandigheden is het lastig.","situation","De omstandigheden waren zwaar."
"onafhankelijk","independent","Ze werden onafhankelijk in 1945.","self-sufficient","Ze is financieel onafhankelijk."
"onbekend","unknown","Zijn verblijfplaats is onbekend.","unfamiliar","Het bleef onbekend wie het deed."
"ondanks","despite","Ondanks de regen gingen ze wandelen.","in spite of","Ondanks zijn pijn werkte hij door."
"onder (vz)","under","De kat zit onder de tafel.","below","Het boek ligt onder de stoel."
"onder (bw)","among","Onder de aanwezigen waren studenten.","underneath","Hij keek onder door het raam."
"onderhandelen","to negotiate","Ze moesten onderhandelen over de prijs.","to bargain","De landen onderhandelden lang."
"onderhandeling","negotiation","De onderhandeling duurde uren.","talks","Ze sloten een onderhandeling af."
"onderneming","enterprise","De onderneming groeit snel.","company","Ze startten een nieuwe onderneming."
"onderscheiden","to distinguish","Ze konden de stemmen niet onderscheiden.","to differentiate","Ze onderscheiden zich door kwaliteit."
"onderwerp (het)","subject","Het onderwerp van de les is kunst.","topic","Ze bespraken een moeilijk onderwerp."
"onderwijs (het)","education","Het onderwijs moet verbeteren.","schooling","Onderwijs is belangrijk."
"onderwijzer","teacher","De onderwijzer legde het uit.","schoolmaster","Hij was een strenge onderwijzer."
"onderzoek (het)","research","Ze deden onderzoek naar ziektes.","study","Het onderzoek duurde jaren."
"onderzoeken","to investigate","Ze onderzoeken het probleem.","to examine","Het team onderzoekt de zaak."
"oneven","odd","Zeven is een oneven getal.","uneven","De verdeling is oneven."
"ongeluk (het)","accident","Er was een ongeluk op de weg.","mishap","Ze hadden een ongeluk met de fiets."
"ongetwijfeld","undoubtedly","Hij komt ongetwijfeld morgen.","certainly","Ongetwijfeld had hij gelijk."
"ongeveer","about","Het kost ongeveer tien euro.","approximately","Er waren ongeveer vijftig mensen."
"onlangs","recently","Hij is onlangs verhuisd.","lately","Onlangs ontmoetten we nieuwe buren."
"onmiddellijk","immediately","Ze vertrokken onmiddellijk.","at once","Hij reageerde onmiddellijk."
"onmogelijk","impossible","Dat is onmogelijk te doen.","not possible","Het lijkt onmogelijk."
"ons","us","Ze zagen ons in het park.","we","Ze gaven ons een cadeau."
"ons / onze","our","Dit is ons huis.","ours","Onze vrienden komen langs."
"ontbijt (het)","breakfast","Ze hadden een lekker ontbijt.","morning meal","Het ontbijt was klaar."
"ontbreken","to lack","Er ontbreken pagina's in het boek.","to be missing","Er ontbreekt een naam."
"ontdekken","to discover","Ze willen een nieuwe planeet ontdekken.","to find","Hij ontdekte een fout."
"onthouden","to remember","Kun je dit onthouden?","to retain","Ze moest het wachtwoord onthouden."
"ontmoeten","to meet","Ze gingen elkaar ontmoeten.","to encounter","Ik ontmoette een oude vriend."
"ontstaan","to arise","Een probleem kan zomaar ontstaan.","to develop","Het bedrijf ontstond in 1990."
"ontvangen","to receive","Ze ontvingen veel gasten.","to welcome","Hij werd goed ontvangen."
"ontwikkelen","to develop","Ze willen nieuwe producten ontwikkelen.","to evolve","Het idee ontwikkelde zich snel."
"ontwikkeling","development","De ontwikkeling van technologie gaat snel.","progress","Ze volgen de ontwikkeling."
"ontzettend","terrible","Het weer was ontzettend slecht.","very","Ze is ontzettend blij."
"onze","our","Onze buren zijn vriendelijk.","ours","Dat is onze auto."
"onzin","nonsense","Dat is onzin.","rubbish","Ze praatte onzin."
"oog (het)","eye","Hij heeft een blauw oog.","sight","Ze had oog voor detail."
"ooit","ever","Ben je ooit in Londen geweest?","once","Ze dacht ooit aan verhuizen."
"ook","also","Ze gaan ook mee.","too","Hij komt ook."
"oom","uncle","Mijn oom woont ver weg.","relative","De oom is aardig."
"oor (het)","ear","Hij fluisterde in haar oor.","hearing","Ze heeft pijn aan haar oor."
"oordeel (het)","judgment","Zijn oordeel was streng.","opinion","Ze gaven hun oordeel."
"oorlog","war","Het land is in oorlog.","conflict","Ze spraken over de oorlog."
"oorspronkelijk","originally","Oorspronkelijk kwamen ze uit Italië.","initially","Het plan was oorspronkelijk anders."
"oorzaak","cause","Wat is de oorzaak van het probleem?","reason","Ze onderzochten de oorzaak."
"oosten (het)","east","Het oosten is warm.","orient","Ze reizen naar het oosten."
"op (vz)","on","Het boek ligt op de tafel.","upon","Hij zat op de stoel."
"op (bw)","up","Ze liepen de trap op.","upwards","Ze keken op."
"opa","grandpa","Ze gingen bij opa langs.","grandfather","Opa vertelde verhalen."
"opbellen","to call","Kun je hem opbellen?","to phone","Ze belde haar vriendin op."
"opbouwen","to build","Ze moesten vertrouwen opbouwen.","to construct","Ze bouwden een huis op."
"opbrengen","to bring up","Ze konden het geld niet opbrengen.","to yield","Het project bracht veel op."
"opdracht","assignment","Ze kregen een moeilijke opdracht.","task","De opdracht moest snel klaar."
"opeens","suddenly","Opeens begon het te regenen.","all of a sudden","Opeens stond hij voor de deur."
"open","open","De deur is open.","not closed","Ze hield het raam open."
"openbaar","public","Ze sprak in het openbaar.","open","Het openbaar vervoer is druk."
"opendoen","to open","Ze deed de deur open.","to unlock","Hij deed het raam opendoen."
"openen","to open","Ze willen de winkel openen.","to start","De tentoonstelling werd geopend."
"opening","opening","De opening was feestelijk.","gap","Ze zagen een opening in de muur."
"operatie","operation","Ze onderging een operatie.","surgery","De operatie duurde lang."
"opeten","to eat up","De kinderen aten alles op.","to consume","Ze aten de taart op."
"opgaan","to rise","De zon gaat op.","to ascend","Ze gingen op in het spel."
"opgeven","to give up","Hij wilde niet opgeven.","to surrender","Ze gaven de strijd op."
"ophalen","to pick up","Ze gingen hun kinderen ophalen.","to collect","Hij haalde de post op."
"opheffen","to lift","Ze moesten de stoelen opheffen.","to abolish","Ze hieven de regels op."
"ophouden","to stop","Het regende en toen hield het op.","to cease","Kun je daarmee ophouden?"
"opkijken","to look up","Hij keek op naar de leraar.","to respect","Ze keek tegen hem op."
"opkomen","to rise","De maan komt op.","to appear","Hij kwam voor haar op."
"opleiding","education","Ze volgt een opleiding.","training","Hij kreeg een goede opleiding."
"opleveren","to yield","Het project leverde veel op.","to deliver","Ze leverden het werk op tijd."
"oplopen","to rise","De temperatuur kan oplopen.","to increase","Ze liepen een infectie op."
"oplossen","to solve","Ze konden het probleem oplossen.","to dissolve","Het zout lost op in water."
"oplossing","solution","Ze vonden een oplossing.","answer","De oplossing is duidelijk."
"opmerken","to notice","Ze kon niets bijzonders opmerken.","to remark","Hij merkte het verschil op."
"opmerking","remark","Ze maakte een opmerking.","comment","Zijn opmerking was scherp."
"opnemen","to record","Ze willen een lied opnemen.","to pick up","Hij nam de telefoon op."
"opnieuw","again","Ze probeerden het opnieuw.","afresh","Opnieuw begonnen ze."
"oppassen","to watch out","Je moet oppassen voor de auto.","to babysit","Ze gaat vanavond oppassen."
"oprichten","to set up","Ze richtten een nieuw bedrijf op.","to establish","Hij richtte een club op."
"opschieten","to hurry","Schiet op, we zijn laat.","to get along","Ze schoten goed met elkaar op."
"opstaan","to get up","Hij moest vroeg opstaan.","to stand up","Ze stonden op uit hun stoel."
"opstellen","to set up","Ze stelden een plan op.","to compose","Ze stelde een brief op."
"optillen","to lift","Ze moesten de doos optillen.","to raise","Hij tilde het kind op."
"optreden","to perform","Ze gaan optreden in het theater.","to act","Hij trad streng op."
"optreden (het)","performance","Het optreden was geslaagd.","act","Hun optreden was leuk."
"optrekken","to pull up","Ze trokken samen op.","to build up","De auto trok snel op."
"opvallen","to stand out","Ze viel op door haar kleding.","to be noticed","Zijn gedrag viel op."
"opvatting","view","Ze hebben een andere opvatting.","opinion","Die opvatting deel ik niet."
"opzetten","to set up","Ze wilden een tent opzetten.","to launch","Hij zette de bril op."
"opzicht (het)","respect","In dat opzicht heb je gelijk.","regard","Ze bekeken het in ieder opzicht."
"opzoeken","to search","Ze moesten het woord opzoeken.","to visit","Hij zocht zijn oma op."
"oranje","orange","Ze droeg een oranje jurk.","colour","Oranje is de kleur van Nederland."
"orde","order","Ze brachten orde in de klas.","arrangement","De orde werd hersteld."
"organisatie","organization","De organisatie regelde alles.","association","Ze startten een nieuwe organisatie."
"organiseren","to organize","Ze moesten een feest organiseren.","to arrange","Hij organiseerde de bijeenkomst."
"orgel (het)","organ","De organist bespeelde het orgel.","instrument","Het orgel klinkt prachtig."
"oud","old","Het huis is oud.","ancient","Ze bezochten een oud kasteel."
"ouder","parent","Zijn ouders zijn aardig.","older","Hij is ouder dan ik."
"over (vz)","about","Ze spraken over het weer.","concerning","Ze lazen over het onderwerp."
"over (bw)","over","Het is bijna over.","across","Ze liepen over de brug."
"overal","everywhere","Ze zoeken overal.","all over","Overal lag sneeuw."
"overblijven","to remain","Er bleef weinig over.","to stay","De kinderen bleven over op school."
"overdag","during the day","Ze werken overdag.","daytime","Overdag is het druk."
"overeenkomst","agreement","Ze sloten een overeenkomst.","contract","De overeenkomst is getekend."
"overgaan","to transfer","De telefoon ging over.","to pass","Ze gingen over naar de volgende klas."
"overheid","government","De overheid maakt regels.","authorities","De overheid is verantwoordelijk."
"overhemd (het)","shirt","Hij draagt een wit overhemd.","dress shirt","Het overhemd hangt klaar."
"overigens","by the way","Overigens was het gezellig.","incidentally","Overigens komt hij ook."
"overleg (het)","consultation","Ze hadden een overleg.","meeting","Het overleg duurde lang."
"overlijden","to die","Ze is gisteren overleden.","passing away","Zijn overlijdensdatum is bekend."
"oversteken","to cross","Ze moesten de straat oversteken.","to traverse","Ze staken de rivier over."
"overtuigen","to convince","Hij wist hen te overtuigen.","to persuade","Ze overtuigde hem van haar gelijk."
"overwegen","to consider","Ze moesten alle opties overwegen.","to contemplate","Hij overwoog een nieuwe baan."
"overwinning","victory","Ze vierden hun overwinning.","triumph","De overwinning was verdiend."
"pa","dad","Pa komt zo thuis.","father","Pa leest de krant."
"paal","pole","Ze sloegen een paal in de grond.","post","De paal staat scheef."
"paar (het)","pair","Een paar schoenen stonden klaar.","couple","Ze vormden een paar."
"paar (onbep telw)","few","Een paar mensen kwamen laat.","some","Ze hadden een paar ideeën."
"paard (het)","horse","Het paard stond in de wei.","steed","Ze reden op een paard."
"paars","purple","Ze droeg een paarse trui.","violet","De lucht kleurde paars."
"pak (het)","suit","Hij droeg een net pak.","package","Het pak werd geleverd."
"pakken","to grab","Hij moest zijn jas pakken.","to take","Ze pakten hun spullen."
"paleis (het)","palace","Ze bezochten het paleis.","castle","Het paleis is groot."
"papa","dad","Papa speelt met de kinderen.","father","Ze zochten papa."
"papier (het)","paper","Ze schreven op papier.","sheet","Een stuk papier lag op tafel."
"pappa","dad","Pappa komt morgen terug.","pop","Ze riepen pappa."
"pardon","sorry","Pardon, mag ik er langs?","excuse me","Ze zei pardon."
"park (het)","park","Ze wandelen in het park.","garden","Het park is groot."
"parkeren","to park","Ze moesten de auto parkeren.","to stop","Hij parkeerde naast de weg."
"parlement (het)","parliament","Het parlement stemde in.","assembly","Het parlement vergaderde."
"particulier","private","Dit is particulier terrein.","individual","Ze huren particulier."
"partij","party","Welke partij wint de verkiezingen?","batch","Ze kochten een partij spullen."
"pas (de)","pass","Hij kreeg een pas voor het gebouw.","card","Ze controleerden zijn pas."
"pas","only","Ze kwamen pas laat aan.","just","Pas na uren kwamen ze."
"Pasen","Easter","Met Pasen gaan we brunchen.","Easter holiday","Pasen is een feestdag."
"passen","to fit","De jas past goed.","to try on","Wil je deze schoenen passen?"
"pastoor","priest","De pastoor sprak tijdens de mis.","parish priest","Ze luisterden naar de pastoor."
"patiënt","patient","De patiënt voelt zich beter.","invalid","De arts helpt de patiënt."
"peinzen","to ponder","Hij zat te peinzen over het antwoord.","to muse","Ze peinsde lang."
"pen","pen","Ze schreef met een blauwe pen.","ballpoint","Hij pakte een pen."
"per","per","Het kost tien euro per persoon.","each","Ze rijden per dag tien kilometer."
"perfect","perfect","Het plan was perfect.","flawless","Ze voerden het perfect uit."
"periode","period","De periode van vakantie is leuk.","time","Het duurde een lange periode."
"pers","press","De pers was aanwezig.","media","Ze spraken met de pers."
"personeel (het)","staff","Het personeel werkt hard.","employees","Ze waarderen het personeel."
"persoon","person","Een aardig persoon werkt daar.","individual","Elk persoon telt."
"persoonlijk","personal","Dit is mijn persoonlijke mening.","private","Ze deelden persoonlijke verhalen."
"persoonlijkheid","personality","Ze heeft een sterke persoonlijkheid.","character","Zijn persoonlijkheid is uniek."
"pet","cap","Hij droeg een pet.","hat","De pet zat scheef."
"piano","piano","Ze speelde op de piano.","keyboard","De piano klonk mooi."
"pijn","pain","Hij voelde pijn in zijn arm.","ache","Ze hadden veel pijn."
"pijp","pipe","Er kwam rook uit de pijp.","tube","De pijp lekte water."
"Pinksteren","Pentecost","Met Pinksteren is de kerk vol.","Whitsun","Pinksteren is een feestdag."
"plaat","record","Ze draaiden een plaat.","disc","De plaat lag op tafel."
"plaats","place","Ze wonen op een mooie plaats.","spot","Ze kozen een andere plaats."
"plaatselijk","local","Het plaatselijke nieuws is bekend.","regional","Ze verkochten plaatselijke producten."
"plaatsen","to place","Ze plaatsen een advertentie.","to put","Hij plaatste de stoelen."
"plaatsvinden","to take place","De vergadering zal morgen plaatsvinden.","to happen","Het feest vond plaats in juni."
"plan (het)","plan","Ze maakten een plan.","scheme","Het plan is goed."
"plank","plank","De boeken staan op de plank.","shelf","Hij legde de plank neer."
"plant","plant","Ze verzorgden de plant.","vegetation","De plant groeit snel."
"plat","flat","Het dak is plat.","level","De band was plat."
"plegen","to commit","Hij pleegde een misdaad.","to perform","Ze pleegden overleg."
"plein (het)","square","Ze liepen over het plein.","plaza","Het plein is groot."
"plezier (het)","pleasure","Ze hadden veel plezier.","fun","Plezier is belangrijk."
"ploeg","team","De ploeg werkt hard.","crew","Ze vormden een ploeg."
"plotseling","suddenly","Plotseling begon het te sneeuwen.","all of a sudden","Plotseling stond hij op."
"plus","plus","Tien plus tien is twintig.","addition","Een pluspunt is de prijs."
"poging","attempt","Ze deden een poging om te winnen.","try","Een poging mislukte."
"politie","police","De politie kwam snel.","law enforcement","Ze belden de politie."
"politiek (de)","politics","Politiek kan ingewikkeld zijn.","government","Ze praten over politiek."
"politiek","political","Ze maakten politieke keuzes.","policy","Het debat was politiek geladen."
"pop","doll","Het meisje speelde met een pop.","pop music","Ze luisteren naar pop."
"positie","position","Zijn positie is belangrijk.","location","Ze stonden op een hoge positie."
"positief","positive","Ze gaf een positief antwoord.","favorable","Hij bleef positief."
"post","mail","Ze bracht de post rond.","post office","De post is bezorgd."
"pot","pot","Ze kookten soep in een pot.","jar","Hij vulde de pot met bloemen."
"prachtig","beautiful","Het uitzicht is prachtig.","splendid","Ze hadden een prachtig huis."
"praktijk","practice","In de praktijk werkt het anders.","office","Hij heeft een medische praktijk."
"praktisch","practical","Het is een praktische oplossing.","almost","Het is praktisch onmogelijk."
"praten","to talk","Ze praten veel.","to chat","Ze praatten met hun vrienden."
"precies","exactly","Dat is precies wat ik bedoelde.","just","Ze wisten precies hoe."
"president","president","De president sprak het volk toe.","leader","Ze verkozen een president."
"prestatie","performance","Zijn prestatie was goed.","achievement","Ze waardeerden zijn prestatie."
"prijs","price","Wat is de prijs van dit boek?","prize","Ze wonnen een prijs."
"principe (het)","principle","Ze begrijpen het principe.","rule","Het principe is duidelijk."
"prins","prince","De prins kwam aan.","royal","Ze zagen de prins."
"prinses","princess","De prinses zwaaide.","royalty","Ze bewonderden de prinses."
"proberen","to try","Ze proberen het nog een keer.","to attempt","Hij probeerde rustig te blijven."
"probleem (het)","problem","Ze hebben een groot probleem.","issue","Het probleem werd opgelost."
"procent (het)","percent","Vijf procent korting geldt vandaag.","percentage","Tien procent van de groep stemde mee."
"proces (het)","process","Het proces duurt lang.","trial","Ze volgen een proces in de rechtbank."
"product (het)","product","Ze verkopen een nieuw product.","item","Het product is populair."
"productie","production","De productie steeg vorig jaar.","manufacture","Ze werken in de productie."
"proeven","to taste","Ze willen het eten proeven.","to sample","Hij proefde de wijn."
"professor","professor","De professor gaf college.","lecturer","Ze spraken met de professor."
"program (het)","program","Het program staat vast.","schedule","Het program werd gevolgd."
"programma (het)","program","Het programma is druk.","show","Ze maakten een tv-programma."
"protestants","Protestant","Ze gaan naar de protestantse kerk.","Protestant faith","De familie is protestants."
"protesteren","to protest","Ze gingen protesteren tegen de plannen.","to demonstrate","De studenten protesteerden op het plein."
"provincie","province","Ze wonen in een andere provincie.","region","De provincie heeft veel natuur."
"publiceren","to publish","Ze willen het boek publiceren.","to release","Het artikel werd gepubliceerd."
"publiek (het)","public","Het publiek klapte luid.","audience","Het publiek was enthousiast."
"punt (het)","point","Ze bereikten het hoogste punt.","dot","Hij zette een punt achter de zin."
"punt (de)","tip","De punt van het mes is scherp.","peak","De punt van de berg is besneeuwd."
"Q","Q","De letter Q komt na P.","queue","Ze oefent de Q."
"qua","as for","Qua prijs is dit goedkoper.","in terms of","Qua kwaliteit is het goed."
"ʻr","her","Ik zag ʻr in de winkel.","she","ʻr jas hangt daar."
"raad","council","De gemeenteraad vergadert morgen.","advice","Hij vroeg om raad."
"raam (het)","window","Het raam stond open.","frame","Ze maakte het raam schoon."
"raar","strange","Hij deed raar tijdens het gesprek.","weird","Ze droeg een rare hoed."
"radio","radio","Ze luisterden naar de radio.","broadcast","De radio stond zacht aan."
"raken","to hit","Hij raakte de bal hard.","to touch","Ze raakte zijn hand."
"rand","edge","Ze stond aan de rand van het bos.","border","De rand van het papier scheurde."
"rapport (het)","report","Ze schreven een rapport over het onderzoek.","statement","Het rapport werd gedeeld."
"reactie","reaction","Hij gaf een snelle reactie.","response","De reactie was positief."
"reageren","to react","Ze reageerden op het nieuws.","to respond","Hij reageerde meteen."
"realiseren","to realize","Hij kon zich niet realiseren hoe moeilijk het was.","to achieve","Ze realiseerden hun doel."
"recht (het)","right","Iedereen heeft recht op vrijheid.","law","Ze studeerde rechten."
"recht","straight","Hij liep recht naar huis.","upright","De stoel stond recht."
"rechter","judge","De rechter sprak het vonnis uit.","magistrate","Ze luisterden naar de rechter."
"rechts","right","Het gebouw staat rechts van de weg.","on the right","Ze sloegen rechtsaf."
"reclame","advertisement","De reclame stond in de krant.","commercial","Ze maakten reclame op tv."
"record (het)","record","Ze vestigden een nieuw record.","recording","Het record stond jaren vast."
"redden","to save","Hij kon het kind redden.","to rescue","Ze redden de dieren."
"redelijk","reasonable","Dat klinkt redelijk.","fair","De prijs was redelijk."
"reden","reason","Wat is de reden voor je komst?","cause","Ze gaven een duidelijke reden."
"reeds","already","Ze hadden het reeds besproken.","previously","Reeds in 1900 begon het."
"regel","rule","De regel is simpel.","line","Hij schreef een regel tekst."
"regelen","to arrange","Ze moeten het vervoer regelen.","to organize","Hij regelde alles goed."
"regeling","regulation","De regeling is ingevoerd.","agreement","Ze kwamen tot een regeling."
"regen","rain","Er viel veel regen.","rainfall","De regen duurde uren."
"regenen","to rain","Het gaat straks regenen.","to drizzle","Gisteren regende het de hele dag."
"regering","government","De regering nam een besluit.","administration","De regering werkt aan nieuwe plannen."
"reiken","to reach","Hij reikte naar het boek.","to hand","Ze reikte hem een glas water."
"reis","trip","Ze maakten een reis naar Spanje.","journey","De reis duurde lang."
"reizen","to travel","Ze reizen graag naar warme landen.","to journey","Hij reisde door Europa."
"reiziger","traveler","De reiziger wachtte op de trein.","passenger","Veel reizigers stonden op het perron."
"rekenen","to calculate","Ze moeten de kosten goed rekenen.","to count","Hij rekende het geld na."
"rekening","bill","De rekening ligt op tafel.","account","Ze openden een nieuwe rekening."
"relatie","relationship","Ze hebben een goede relatie.","connection","De relatie tussen beide landen is sterk."
"rennen","to run","De kinderen renden door het park.","to sprint","Hij rent elke ochtend."
"reserveren","to reserve","Ze willen een tafel reserveren.","to book","Hij reserveerde een hotelkamer."
"rest","rest","De rest van de groep blijft hier.","remainder","Ze namen de rest mee naar huis."
"restaurant (het)","restaurant","Ze aten in een Italiaans restaurant.","dining place","Het restaurant was vol."
"resultaat (het)","result","Het resultaat van de test is goed.","outcome","Ze behaalden een goed resultaat."
"retour (het)","return","Hij kocht een retour naar Parijs.","round trip","Het retourticket was goedkoop."
"revolutie","revolution","Ze spraken over de Franse revolutie.","upheaval","De revolutie bracht verandering."
"richten","to aim","Hij richtte het pistool naar het doel.","to focus","Ze richtte haar aandacht op school."
